entity_id,segment_id,horizon_y,event_era,missing_count,population_bin,gdp_bin,energy_per_capita_bin,energy_per_gdp_bin,electricity_demand_per_capita_bin,carbon_intensity_elec_bin,fossil_share_energy_bin,renewables_share_energy_bin,low_carbon_share_energy_bin,energy_cons_change_pct_bin,fossil_cons_change_pct_bin,renewables_cons_change_pct_bin,fossil_share_elec_bin,renewables_share_elec_bin,low_carbon_share_elec_bin,fossil_share_energy_chg1_bin,renewables_share_energy_chg1_bin,energy_cons_change_pct_std5_bin,fossil_share_energy_std5_bin,slice_hard_transition,target_fossil_share_rebound_next,row_id
-733388131950884795,0,1,2,0,7,8,10,7,10,2,3,6,8,1,2,9,2,5,9,10,10,6,8,0,0,182
-733388131950884795,0,1,2,0,7,8,10,7,10,1,2,6,9,6,5,7,2,6,9,2,8,6,6,0,1,183
-733388131950884795,0,1,2,0,7,8,10,6,10,1,3,6,8,0,1,7,2,6,9,10,9,6,6,0,1,184
-733388131950884795,0,1,2,0,7,9,10,6,10,2,4,7,7,4,8,5,2,7,9,11,9,5,9,0,0,185
-733388131950884795,0,1,3,0,7,9,10,7,10,1,2,6,9,9,5,7,2,6,9,0,2,6,9,0,0,186
-733388131950884795,0,1,3,0,7,9,10,7,10,1,2,7,9,4,5,7,2,6,9,8,8,6,10,0,1,187
2308140027322212432,0,1,0,7,11,5,0,1,-1,-1,8,4,3,8,9,2,-1,5,4,-1,-1,-1,-1,0,0,192
2308140027322212432,0,1,0,5,11,5,0,1,-1,-1,8,4,3,1,1,2,-1,5,4,7,3,-1,-1,0,1,193
2308140027322212432,0,1,0,3,11,5,0,1,-1,-1,8,4,3,10,11,2,-1,4,4,9,2,7,3,0,1,194
2308140027322212432,0,1,0,3,11,5,0,1,-1,-1,9,3,2,10,11,0,-1,4,3,10,1,6,5,0,0,195
2308140027322212432,0,1,0,3,11,6,0,1,-1,-1,9,4,2,8,9,11,-1,4,4,3,9,6,4,0,1,196
2308140027322212432,0,1,0,3,11,6,0,1,-1,-1,9,2,2,11,11,0,-1,3,3,10,0,8,6,1,0,197
2308140027322212432,0,1,0,3,11,6,0,1,-1,-1,9,3,2,7,7,11,-1,4,3,2,9,5,5,0,0,198
2308140027322212432,0,1,0,3,11,6,0,1,-1,-1,9,3,2,8,8,3,-1,4,3,8,3,6,5,0,0,199
2308140027322212432,0,1,0,3,11,6,1,1,-1,-1,9,3,2,9,9,9,-1,4,3,4,7,6,5,0,0,200
2308140027322212432,0,1,0,3,11,6,0,1,-1,-1,9,3,2,4,5,2,-1,4,3,7,3,7,3,0,0,201
2308140027322212432,0,1,1,0,11,6,1,1,1,8,9,3,2,9,10,2,8,4,3,8,3,2,2,0,0,202
2308140027322212432,0,1,1,0,11,7,1,1,1,8,9,3,2,11,11,10,8,4,3,4,7,5,2,0,0,203
2308140027322212432,0,1,1,0,11,7,1,1,1,8,9,3,2,4,5,0,8,4,3,9,2,6,2,0,0,204
2308140027322212432,0,1,1,0,11,7,1,1,1,8,9,3,2,8,9,3,8,4,3,8,3,6,2,0,0,205
2308140027322212432,0,1,1,0,11,7,1,1,1,8,9,2,2,9,9,3,8,4,3,8,3,5,2,1,0,206
2308140027322212432,0,1,1,0,11,7,1,1,1,8,9,2,2,9,10,3,8,4,3,8,3,5,3,1,0,207
2308140027322212432,0,1,1,0,11,8,1,1,1,8,9,2,2,9,10,4,8,3,3,7,3,3,2,1,0,208
2308140027322212432,0,1,1,0,11,8,1,1,1,9,9,2,2,6,7,4,8,3,3,7,4,1,2,1,0,209
2308140027322212432,0,1,1,0,11,8,1,1,1,9,9,2,2,8,8,10,8,3,3,4,7,2,1,1,1,210
2308140027322212432,0,1,1,0,11,8,1,1,1,10,10,2,1,10,11,0,9,2,2,9,1,2,3,1,0,211
2308140027322212432,0,1,2,0,11,8,1,1,1,10,10,2,1,6,6,11,9,3,3,4,8,3,3,1,0,212
2308140027322212432,0,1,2,0,11,8,1,1,1,9,9,2,2,9,10,10,9,3,3,4,7,3,3,1,0,213
2308140027322212432,0,1,2,0,11,9,1,1,1,10,10,2,1,9,10,2,9,3,2,8,3,3,3,1,0,214
2308140027322212432,0,1,2,0,11,9,1,1,1,9,10,2,1,7,7,4,9,3,3,7,4,3,2,1,0,215
2308140027322212432,0,1,2,0,11,9,1,1,2,10,10,2,1,7,8,1,9,3,2,8,3,2,2,1,0,216
2308140027322212432,0,1,2,0,11,9,1,1,2,10,10,2,1,11,11,11,9,3,2,5,6,7,2,1,0,217
2308140027322212432,0,1,3,0,11,9,1,1,2,9,10,2,1,4,4,2,9,3,2,7,3,8,1,1,0,218
2145812178784953552,0,1,0,4,6,4,8,11,8,6,4,3,7,0,0,0,4,3,7,-1,-1,-1,-1,0,0,224
2145812178784953552,0,1,0,2,6,4,7,11,8,6,4,4,7,0,0,11,4,4,7,0,10,-1,-1,0,1,225
2145812178784953552,0,1,0,0,6,4,7,11,7,6,4,3,7,1,1,0,4,4,7,10,2,7,7,0,0,226
2145812178784953552,0,1,0,0,6,4,7,11,7,5,4,3,7,9,8,2,4,4,7,1,2,9,7,0,0,227
2145812178784953552,0,1,0,0,6,4,7,11,7,5,3,3,8,1,1,0,4,3,7,1,2,8,8,0,0,228
2145812178784953552,0,1,0,0,6,4,7,11,8,5,3,3,8,9,9,11,3,4,8,1,9,9,9,0,0,229
2145812178784953552,0,1,0,0,6,4,7,11,8,4,2,4,9,3,2,10,3,4,8,1,9,6,10,0,0,230
2145812178784953552,0,1,0,0,5,4,7,11,7,5,2,4,9,1,0,2,3,4,8,2,4,6,10,0,0,231
2145812178784953552,0,1,0,0,5,4,7,11,7,5,2,4,9,1,1,8,3,4,8,4,8,6,9,0,0,232
2145812178784953552,0,1,0,0,5,4,6,11,7,5,2,4,9,0,0,1,3,4,8,1,6,7,8,0,0,233
